zipcode,mean_household_income
91306,79986
91755,79125
90701,71403
90241,55251
90250,50742
90210,328332
90004,113486
90013,37542
90069,301039
91384,121106
90704,66757
90059,46353
91601,51229
91352,76516
91311,139886
90068,104853
90744,34780
90023,44411
90016,46800
90713,94504
90058,50565
91006,85493
90638,98544
90606,69209
91016,106763
91008,185900
91759,84740
90602,112839
91371,98620
93644,65553
93614,92381
94970,89836
94933,102862
95470,66478
95427,51170
95460,65205
95417,43696
95463,51170
96108,54310
93512,74880
93923,143808
93901,83526
93943,76672
94503,95587
94574,126897
94508,126897
92844,70653
92843,64437
92602,149741
92649,82690
92637,55483
92629,135859
92692,115467
92614,72672
92870,101793
92610,141021
92530,62368
95648,84247
95765,121445
95677,60551
95678,78881
95736,80084
96122,60014
96135,60014
95923,78513
95956,57772
92509,91476
92879,48442
92881,91057
92595,72894
92591,108124
92223,62802
92587,64653
92028,113335
95818,107080
95673,63312
95632,86381
95680,66401
95842,51600
95841,45760
95639,66401
92345,71416
92341,64856
91709,125776
91761,78381
91764,79324
91737,130922
91708,112366
92374,84269
92358,146319
92408,54781
92376,41844
92268,38832
92040,96154
92109,76829
92116,46055
92117,75572
91910,83496
92026,102063
91934,51110
92003,103278
92102,43398
92056,82412
92054,51004
92060,60060
92055,51004
94114,117618
94110,75614
95304,126663
95205,43582
95361,128833
93420,126217
93428,88798
94010,328693
94015,96248
94038,148364
94020,127620
93103,111908
93013,120860
93460,138852
94085,86170
95148,129709
95127,137016
95119,115092
95014,154487
94043,77624
95129,175497
95128,95138
95117,106826
95007,91156
96003,70862
96125,58780
96124,58780
96086,37275
96067,54545
95403,73360
95409,65911
95439,82673
95431,101950
95486,55468
95326,64190
95354,63360
96035,42668
93261,36988
93615,39122
93265,78043
93673,42810
93221,75084
93223,37943
93258,52671
93010,150790
93015,65395
93033,61020
93030,43439
93064,122392
95606,82894
95605,51076
95925,56398
94605,65174
94502,152290
94709,96258
94536,94919
94538,139404
94541,59455
94546,125228
94505,81693
95640,76622
95629,72559
95917,60567
95222,60737
95226,78725
94598,153359
94523,103557
