GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001,H7X001,H7X002,H7X003,H7X004,H7X005,H7X006,H7X007,H7X008
"G75117","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75117",,,,,"ZCTA5 75117",,3722,3722,3345,181,27,5,0,96,68
"G75119","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75119",,,,,"ZCTA5 75119",,26601,26601,18814,2806,160,112,34,4147,528
"G75124","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75124",,,,,"ZCTA5 75124",,4446,4446,4157,31,44,6,2,125,81
"G75125","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75125",,,,,"ZCTA5 75125",,6691,6691,4557,716,65,12,1,1176,164
"G75126","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75126",,,,,"ZCTA5 75126",,33396,33396,26740,3665,222,455,8,1528,778
"G75127","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75127",,,,,"ZCTA5 75127",,1593,1593,1458,7,13,4,0,77,34
"G75132","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75132",,,,,"ZCTA5 75132",,294,294,231,30,2,1,0,21,9
"G75134","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75134",,,,,"ZCTA5 75134",,20276,20276,3393,14580,70,75,5,1732,421
"G75135","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75135",,,,,"ZCTA5 75135",,5910,5910,5395,144,49,12,0,205,105
"G75137","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75137",,,,,"ZCTA5 75137",,18861,18861,8937,7003,121,307,12,2001,480
"G75140","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75140",,,,,"ZCTA5 75140",,6958,6958,6342,37,46,28,7,390,108
"G75141","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75141",,,,,"ZCTA5 75141",,5374,5374,2429,2109,54,14,1,651,116
"G75142","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75142",,,,,"ZCTA5 75142",,18982,18982,15305,1023,129,106,3,1925,491
"G75143","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75143",,,,,"ZCTA5 75143",,14619,14619,13587,268,98,33,13,393,227
"G75144","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75144",,,,,"ZCTA5 75144",,3291,3291,2291,720,25,4,1,186,64
"G75146","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75146",,,,,"ZCTA5 75146",,17993,17993,4904,11169,59,34,8,1442,377
"G75147","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75147",,,,,"ZCTA5 75147",,6602,6602,6045,134,56,51,3,198,115
"G75148","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75148",,,,,"ZCTA5 75148",,5842,5842,4823,567,35,16,2,318,81
"G75149","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75149",,,,,"ZCTA5 75149",,56065,56065,33702,11807,436,1442,42,6906,1730
"G75150","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75150",,,,,"ZCTA5 75150",,58730,58730,35996,10492,575,1825,41,7933,1868
"G75152","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75152",,,,,"ZCTA5 75152",,4606,4606,3940,122,37,7,7,372,121
"G75153","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75153",,,,,"ZCTA5 75153",,605,605,413,51,12,5,0,108,16
"G75154","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75154",,,,,"ZCTA5 75154",,36041,36041,23214,8380,240,192,11,3145,859
"G75155","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75155",,,,,"ZCTA5 75155",,2579,2579,1800,93,16,1,1,595,73
"G75156","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75156",,,,,"ZCTA5 75156",,14580,14580,13591,191,95,65,9,359,270
"G75157","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75157",,,,,"ZCTA5 75157",,310,310,184,101,6,0,0,6,13
"G75158","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75158",,,,,"ZCTA5 75158",,4139,4139,3844,83,52,20,6,88,46
"G75159","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75159",,,,,"ZCTA5 75159",,18339,18339,13115,2626,169,85,7,1872,465
"G75160","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75160",,,,,"ZCTA5 75160",,23627,23627,15342,4856,150,228,6,2473,572
"G75161","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75161",,,,,"ZCTA5 75161",,6165,6165,5219,380,68,13,4,313,168
"G75163","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75163",,,,,"ZCTA5 75163",,2285,2285,2044,152,13,4,0,30,42
"G75164","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75164",,,,,"ZCTA5 75164",,671,671,584,1,2,5,0,63,16
"G75165","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75165",,,,,"ZCTA5 75165",,37966,37966,29564,4059,206,188,25,3056,868
"G75166","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75166",,,,,"ZCTA5 75166",,3070,3070,2703,157,26,41,2,81,60
"G75167","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75167",,,,,"ZCTA5 75167",,8436,8436,7229,448,48,64,6,498,143
"G75169","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75169",,,,,"ZCTA5 75169",,14644,14644,13083,602,158,50,5,462,284
"G75172","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75172",,,,,"ZCTA5 75172",,3956,3956,1955,822,35,10,2,967,165
"G75173","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75173",,,,,"ZCTA5 75173",,4353,4353,3842,96,59,19,2,268,67
"G75180","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75180",,,,,"ZCTA5 75180",,23031,23031,11741,5556,325,203,3,4437,766
"G75181","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75181",,,,,"ZCTA5 75181",,25908,25908,13456,8002,189,1266,20,2194,781
"G75182","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75182",,,,,"ZCTA5 75182",,5118,5118,3508,303,23,1049,1,97,137
"G75189","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75189",,,,,"ZCTA5 75189",,22406,22406,18529,1121,206,211,14,1822,503
"G75201","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75201",,,,,"ZCTA5 75201",,9409,9409,6929,1561,65,360,9,278,207
"G75202","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75202",,,,,"ZCTA5 75202",,1666,1666,1256,253,6,52,2,46,51
"G75203","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75203",,,,,"ZCTA5 75203",,15721,15721,4574,5481,160,41,8,4985,472
"G75204","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75204",,,,,"ZCTA5 75204",,26279,26279,17204,3594,168,1529,12,3066,706
"G75205","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75205",,,,,"ZCTA5 75205",,23061,23061,21178,326,64,770,3,362,358
"G75206","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75206",,,,,"ZCTA5 75206",,36248,36248,27030,2228,247,1943,25,3880,895
"G75207","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75207",,,,,"ZCTA5 75207",,9648,9648,4967,4506,8,65,1,72,29
"G75208","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75208",,,,,"ZCTA5 75208",,30171,30171,19849,1302,334,176,10,7575,925
"G75209","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75209",,,,,"ZCTA5 75209",,13653,13653,9599,2337,62,285,6,1100,264
"G75210","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75210",,,,,"ZCTA5 75210",,7482,7482,774,5333,44,17,6,1184,124
"G75211","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75211",,,,,"ZCTA5 75211",,73146,73146,42689,4979,683,668,31,21911,2185
"G75212","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75212",,,,,"ZCTA5 75212",,24884,24884,9523,7478,151,270,19,6621,822
"G75214","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75214",,,,,"ZCTA5 75214",,32950,32950,26823,1635,206,615,6,2902,763
"G75215","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75215",,,,,"ZCTA5 75215",,14648,14648,1774,11562,88,40,3,932,249
"G75216","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75216",,,,,"ZCTA5 75216",,49416,49416,7110,32813,185,73,23,8315,897
"G75217","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75217",,,,,"ZCTA5 75217",,80324,80324,30684,22279,721,191,7,24191,2251
"G75218","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75218",,,,,"ZCTA5 75218",,21665,21665,17270,1503,120,336,20,1937,479
"G75219","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75219",,,,,"ZCTA5 75219",,22124,22124,15363,1889,130,1243,13,2920,566
"G75220","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75220",,,,,"ZCTA5 75220",,41891,41891,23407,1487,381,303,9,15033,1271
"G75223","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75223",,,,,"ZCTA5 75223",,13947,13947,6722,1718,125,123,11,4791,457
"G75224","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75224",,,,,"ZCTA5 75224",,34034,34034,14271,9509,211,535,1,8592,915
"G75225","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75225",,,,,"ZCTA5 75225",,20892,20892,20049,120,45,418,1,79,180
"G75226","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75226",,,,,"ZCTA5 75226",,3506,3506,1848,624,22,160,1,723,128
"G75227","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75227",,,,,"ZCTA5 75227",,55029,55029,21121,16760,375,449,6,14767,1551
"G75228","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75228",,,,,"ZCTA5 75228",,66551,66551,33282,14795,522,1812,35,14082,2023
