GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001,H7X001,H7X002,H7X003,H7X004,H7X005,H7X006,H7X007,H7X008
"G00601","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,"ZCTA5 00601",,18570,18570,17285,572,65,5,1,402,240
"G00602","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,"ZCTA5 00602",,41520,41520,35980,2210,129,22,0,2181,998
"G00603","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,"ZCTA5 00603",,54689,54689,45348,4141,140,85,4,3614,1357
"G00606","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,"ZCTA5 00606",,6615,6615,5883,314,27,3,8,280,100
"G00610","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,"ZCTA5 00610",,29016,29016,23796,2083,100,37,4,2175,821
"G00612","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,"ZCTA5 00612",,67010,67010,56488,4130,241,79,6,3964,2102
"G00616","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,"ZCTA5 00616",,11017,11017,9339,786,38,4,0,670,180
"G00617","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,"ZCTA5 00617",,24597,24597,19831,1885,81,30,0,2159,611
"G00622","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,"ZCTA5 00622",,7853,7853,6738,393,13,3,2,483,221
"G00623","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,"ZCTA5 00623",,43061,43061,36075,2365,130,35,7,3200,1249
"G00624","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00624",,,,,"ZCTA5 00624",,26241,26241,21462,2354,107,42,0,1826,450
"G00627","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00627",,,,,"ZCTA5 00627",,35159,35159,30900,1452,112,35,1,1826,833
"G00631","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,"ZCTA5 00631",,1852,1852,1724,41,4,0,5,40,38
"G00637","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00637",,,,,"ZCTA5 00637",,25287,25287,21566,1387,93,8,2,1587,644
"G00638","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00638",,,,,"ZCTA5 00638",,18941,18941,16920,797,22,5,0,810,387
"G00641","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00641",,,,,"ZCTA5 00641",,31191,31191,28929,793,68,24,9,934,434
"G00646","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00646",,,,,"ZCTA5 00646",,38199,38199,26576,5988,259,90,1,3813,1472
"G00647","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00647",,,,,"ZCTA5 00647",,6172,6172,5227,338,37,1,0,400,169
"G00650","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00650",,,,,"ZCTA5 00650",,14998,14998,13595,686,42,8,1,405,261
"G00652","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00652",,,,,"ZCTA5 00652",,4715,4715,3992,315,20,2,0,253,133
"G00653","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00653",,,,,"ZCTA5 00653",,13307,13307,10348,1167,64,6,1,1360,361
"G00656","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00656",,,,,"ZCTA5 00656",,21481,21481,17594,1790,94,12,1,1552,438
"G00659","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00659",,,,,"ZCTA5 00659",,41953,41953,36608,1855,89,43,0,2483,875
"G00660","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00660",,,,,"ZCTA5 00660",,17250,17250,14000,1438,70,16,0,1267,459
"G00662","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00662",,,,,"ZCTA5 00662",,43282,43282,35982,3369,146,57,5,2483,1240
"G00664","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00664",,,,,"ZCTA5 00664",,16784,16784,15223,576,64,12,1,598,310
"G00667","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00667",,,,,"ZCTA5 00667",,25968,25968,20941,1361,63,23,4,3116,460
"G00669","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00669",,,,,"ZCTA5 00669",,29744,29744,27078,906,74,22,3,1043,618
"G00670","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00670",,,,,"ZCTA5 00670",,9807,9807,8430,515,44,1,1,663,153
"G00674","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00674",,,,,"ZCTA5 00674",,44457,44457,36402,3861,222,44,2,2792,1134
"G00676","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00676",,,,,"ZCTA5 00676",,40316,40316,36071,1802,63,32,5,1492,851
"G00677","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00677",,,,,"ZCTA5 00677",,15272,15272,13092,813,82,27,5,854,399
"G00678","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00678",,,,,"ZCTA5 00678",,27819,27819,24788,1006,37,43,1,1312,632
"G00680","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00680",,,,,"ZCTA5 00680",,58140,58140,45972,4681,512,80,9,4677,2209
"G00682","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00682",,,,,"ZCTA5 00682",,32615,32615,25550,2730,167,110,2,3119,937
"G00683","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00683",,,,,"ZCTA5 00683",,33772,33772,28118,1917,129,40,4,2847,717
"G00685","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00685",,,,,"ZCTA5 00685",,42831,42831,37907,1281,129,31,0,2460,1023
"G00687","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00687",,,,,"ZCTA5 00687",,32610,32610,28828,1689,75,26,5,1127,860
"G00688","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00688",,,,,"ZCTA5 00688",,13543,13543,11556,639,45,18,0,966,319
"G00690","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00690",,,,,"ZCTA5 00690",,6255,6255,5238,374,14,14,0,511,104
"G00692","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00692",,,,,"ZCTA5 00692",,37511,37511,26650,5620,269,68,6,3745,1153
"G00693","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00693",,,,,"ZCTA5 00693",,61038,61038,47096,6959,283,73,6,5104,1517
"G00694","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00694",,,,,"ZCTA5 00694",,328,328,184,129,0,0,0,9,6
"G00698","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00698",,,,,"ZCTA5 00698",,41782,41782,34681,2484,143,35,5,3310,1124
"G00703","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00703",,,,,"ZCTA5 00703",,28605,28605,20797,3554,181,20,5,2776,1272
"G00704","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00704",,,,,"ZCTA5 00704",,8577,8577,5593,1599,42,9,0,1088,246
"G00705","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00705",,,,,"ZCTA5 00705",,25598,25598,21338,1864,52,9,5,1795,535
"G00707","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00707",,,,,"ZCTA5 00707",,12225,12225,5851,3720,99,18,4,1988,545
"G00714","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00714",,,,,"ZCTA5 00714",,19566,19566,10462,6353,170,31,5,1859,686
"G00715","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00715",,,,,"ZCTA5 00715",,3656,3656,2604,759,22,1,0,190,80
"G00716","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00716",,,,,"ZCTA5 00716",,33779,33779,27914,3233,170,136,9,1614,703
"G00717","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00717",,,,,"ZCTA5 00717",,18457,18457,14646,1990,115,32,0,1270,404
"G00718","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00718",,,,,"ZCTA5 00718",,26606,26606,18918,4233,116,50,0,2465,824
"G00719","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00719",,,,,"ZCTA5 00719",,30990,30990,26053,1880,146,23,2,1862,1024
"G00720","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00720",,,,,"ZCTA5 00720",,23129,23129,20022,1445,100,18,6,1009,529
"G00723","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00723",,,,,"ZCTA5 00723",,19277,19277,11902,3835,110,14,4,2750,662
"G00725","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00725",,,,,"ZCTA5 00725",,89374,89374,67829,10507,553,166,9,6929,3381
"G00727","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00727",,,,,"ZCTA5 00727",,58382,58382,44570,5735,336,110,2,5661,1968
"G00728","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00728",,,,,"ZCTA5 00728",,44908,44908,36771,3728,192,53,1,2706,1457
"G00729","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00729",,,,,"ZCTA5 00729",,53750,53750,32625,12196,463,86,4,6926,1450
"G00730","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00730",,,,,"ZCTA5 00730",,35742,35742,29674,2957,190,35,5,2202,679
"G00731","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00731",,,,,"ZCTA5 00731",,15524,15524,13074,1042,58,24,0,961,365
"G00735","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00735",,,,,"ZCTA5 00735",,13730,13730,9703,2253,97,19,3,1040,615
"G00736","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00736",,,,,"ZCTA5 00736",,51532,51532,40864,4306,193,68,12,4449,1640
"G00738","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00738",,,,,"ZCTA5 00738",,34922,34922,22890,6439,241,90,1,3579,1682
"G00739","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00739",,,,,"ZCTA5 00739",,39678,39678,30598,3215,158,36,0,4259,1412
"G00740","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00740",,,,,"ZCTA5 00740",,2071,2071,1074,425,17,5,3,243,304
"G00741","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00741",,,,,"ZCTA5 00741",,4971,4971,2677,1020,32,6,0,1037,199
"G00745","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00745",,,,,"ZCTA5 00745",,55062,55062,34172,13449,358,130,7,5168,1778
"G00751","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00751",,,,,"ZCTA5 00751",,23129,23129,15751,3591,143,25,4,2557,1058
"G00754","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00754",,,,,"ZCTA5 00754",,40828,40828,31122,3993,308,35,1,3320,2049
"G00757","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00757",,,,,"ZCTA5 00757",,23263,23263,16989,3636,106,14,3,1940,575
"G00765","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00765",,,,,"ZCTA5 00765",,9098,9098,5348,2568,56,6,1,670,449
"G00766","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00766",,,,,"ZCTA5 00766",,26488,26488,21785,2229,65,11,0,1641,757
"G00767","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00767",,,,,"ZCTA5 00767",,38019,38019,24920,5373,177,57,1,4309,3182
"G00769","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00769",,,,,"ZCTA5 00769",,40248,40248,30906,4204,128,24,6,3675,1305
"G00771","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00771",,,,,"ZCTA5 00771",,38394,38394,27035,4549,184,40,5,3985,2596
"G00772","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00772",,,,,"ZCTA5 00772",,23105,23105,3889,17308,112,29,0,1235,532
"G00773","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00773",,,,,"ZCTA5 00773",,20068,20068,13153,4166,186,36,1,1751,775
"G00775","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00775",,,,,"ZCTA5 00775",,1786,1786,1008,478,16,4,0,68,212
"G00777","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00777",,,,,"ZCTA5 00777",,40684,40684,29174,5549,192,29,0,3347,2393
"G00778","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00778",,,,,"ZCTA5 00778",,45429,45429,32884,6642,192,48,9,2939,2715
"G00780","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00780",,,,,"ZCTA5 00780",,13800,13800,11424,1194,26,13,0,793,350
"G00782","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00782",,,,,"ZCTA5 00782",,19304,19304,15163,1687,111,19,4,1680,640
"G00783","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00783",,,,,"ZCTA5 00783",,36557,36557,31221,1934,76,24,2,2696,604
"G00784","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00784",,,,,"ZCTA5 00784",,44637,44637,30468,8296,378,59,12,3092,2332
"G00786","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00786",,,,,"ZCTA5 00786",,357,357,333,15,0,0,0,8,1
"G00791","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00791",,,,,"ZCTA5 00791",,53417,53417,35957,9747,453,118,2,4646,2494
"G00794","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00794",,,,,"ZCTA5 00794",,30585,30585,26306,1640,82,14,0,1976,567
"G00795","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00795",,,,,"ZCTA5 00795",,48736,48736,36650,6952,230,43,5,3654,1202
"G00901","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00901",,,,,"ZCTA5 00901",,7080,7080,5173,1229,27,26,0,462,163
"G00906","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00906",,,,,"ZCTA5 00906",,4,4,0,0,0,2,0,0,2
"G00907","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00907",,,,,"ZCTA5 00907",,17458,17458,12897,2328,157,188,4,1295,589
"G00909","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00909",,,,,"ZCTA5 00909",,6230,6230,3437,1463,72,28,0,526,704
"G00911","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00911",,,,,"ZCTA5 00911",,8623,8623,6265,1290,84,106,0,578,300
"G00912","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00912",,,,,"ZCTA5 00912",,6801,6801,3871,2109,70,42,0,406,303
"G00913","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00913",,,,,"ZCTA5 00913",,9312,9312,5626,2506,65,11,0,898,206
"G00915","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00915",,,,,"ZCTA5 00915",,32820,32820,16634,10657,433,205,5,3393,1493
"G00917","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00917",,,,,"ZCTA5 00917",,21053,21053,13972,3882,182,129,0,1873,1015
"G00918","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00918",,,,,"ZCTA5 00918",,18056,18056,13615,2271,106,79,3,1444,538
"G00920","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00920",,,,,"ZCTA5 00920",,17893,17893,11911,3523,161,62,0,1462,774
"G00921","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00921",,,,,"ZCTA5 00921",,37763,37763,25435,7430,311,116,6,2570,1895
"G00923","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00923",,,,,"ZCTA5 00923",,29086,29086,17714,6423,235,136,2,3353,1223
"G00924","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00924",,,,,"ZCTA5 00924",,56691,56691,37013,12384,592,213,3,4432,2054
"G00925","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00925",,,,,"ZCTA5 00925",,8696,8696,4746,1828,86,103,0,1455,478
"G00926","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00926",,,,,"ZCTA5 00926",,108862,108862,82144,14126,529,272,10,7983,3798
"G00927","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00927",,,,,"ZCTA5 00927",,14936,14936,11911,1256,54,31,3,1078,603
"G00934","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00934",,,,,"ZCTA5 00934",,288,288,199,43,1,3,0,30,12
"G00936","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00936",,,,,"ZCTA5 00936",,681,681,344,337,0,0,0,0,0
"G00949","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00949",,,,,"ZCTA5 00949",,82278,82278,59041,12736,480,243,2,6984,2792
"G00950","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00950",,,,,"ZCTA5 00950",,9,9,0,2,0,0,0,7,0
"G00951","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00951",,,,,"ZCTA5 00951",,35,35,24,8,0,0,0,3,0
"G00952","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00952",,,,,"ZCTA5 00952",,10008,10008,6186,2500,52,13,0,860,397
"G00953","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00953",,,,,"ZCTA5 00953",,73014,73014,55735,7007,286,94,9,7400,2483
"G00956","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00956",,,,,"ZCTA5 00956",,79304,79304,61902,7535,447,124,9,6421,2866
"G00957","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00957",,,,,"ZCTA5 00957",,45680,45680,36199,4558,356,113,8,3108,1338
"G00959","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00959",,,,,"ZCTA5 00959",,50560,50560,39800,5127,252,140,6,3506,1729
"G00960","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00960",,,,,"ZCTA5 00960",,1779,1779,1194,509,0,0,0,50,26
"G00961","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00961",,,,,"ZCTA5 00961",,32429,32429,25002,3851,135,98,1,2260,1082
"G00962","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00962",,,,,"ZCTA5 00962",,22491,22491,15512,3450,229,42,1,2662,595
"G00965","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00965",,,,,"ZCTA5 00965",,9134,9134,5993,1768,121,25,2,884,341
"G00966","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00966",,,,,"ZCTA5 00966",,16676,16676,14483,953,51,25,7,729,428
"G00968","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00968",,,,,"ZCTA5 00968",,3478,3478,3177,110,6,23,0,108,54
"G00969","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00969",,,,,"ZCTA5 00969",,42219,42219,35238,2851,132,123,2,2591,1282
"G00971","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00971",,,,,"ZCTA5 00971",,30986,30986,23044,3824,122,46,2,2781,1167
"G00976","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00976",,,,,"ZCTA5 00976",,65136,65136,46515,9883,498,151,11,6057,2021
"G00979","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00979",,,,,"ZCTA5 00979",,17030,17030,12944,2248,126,136,2,1033,541
"G00982","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00982",,,,,"ZCTA5 00982",,16428,16428,10416,4150,139,49,1,1175,498
"G00983","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00983",,,,,"ZCTA5 00983",,39234,39234,24428,9854,319,126,4,3450,1053
"G00985","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00985",,,,,"ZCTA5 00985",,36553,36553,22421,9501,457,118,3,2852,1201
"G00987","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00987",,,,,"ZCTA5 00987",,63661,63661,41135,13715,404,193,3,5897,2314
"G01001","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01001",,,,,"ZCTA5 01001",,16769,16769,15704,310,28,357,0,141,229
"G01002","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01002",,,,,"ZCTA5 01002",,29049,29049,22597,1444,79,2971,12,729,1217
"G01003","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01003",,,,,"ZCTA5 01003",,10372,10372,7979,630,15,1195,1,180,372
"G01005","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01005",,,,,"ZCTA5 01005",,5079,5079,4890,60,10,27,0,21,71
"G01007","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01007",,,,,"ZCTA5 01007",,14649,14649,13741,199,21,305,8,115,260
"G01008","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01008",,,,,"ZCTA5 01008",,1263,1263,1243,4,2,4,0,2,8
"G01009","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01009",,,,,"ZCTA5 01009",,741,741,712,4,1,3,0,12,9
"G01010","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01010",,,,,"ZCTA5 01010",,3609,3609,3492,28,10,17,2,4,56
"G01011","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01011",,,,,"ZCTA5 01011",,1370,1370,1345,0,0,11,0,0,14
"G01012","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01012",,,,,"ZCTA5 01012",,661,661,644,2,1,5,0,1,8
"G01013","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01013",,,,,"ZCTA5 01013",,23188,23188,19351,964,122,245,17,1846,643
"G01020","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01020",,,,,"ZCTA5 01020",,29668,29668,26715,772,71,457,16,1085,552
"G01022","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01022",,,,,"ZCTA5 01022",,2451,2451,1942,317,11,35,3,85,58
"G01026","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01026",,,,,"ZCTA5 01026",,946,946,926,3,0,2,0,6,9
"G01027","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01027",,,,,"ZCTA5 01027",,17660,17660,16602,177,33,388,4,188,268
"G01028","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01028",,,,,"ZCTA5 01028",,15720,15720,14858,222,11,377,0,75,177
"G01029","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01029",,,,,"ZCTA5 01029",,789,789,772,2,1,5,0,0,9
"G01030","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01030",,,,,"ZCTA5 01030",,11669,11669,11195,116,17,145,0,71,125
"G01031","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01031",,,,,"ZCTA5 01031",,1308,1308,1267,11,7,1,2,7,13
"G01032","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01032",,,,,"ZCTA5 01032",,570,570,555,2,2,2,0,0,9
"G01033","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01033",,,,,"ZCTA5 01033",,6227,6227,6008,25,15,69,1,40,69
"G01034","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01034",,,,,"ZCTA5 01034",,2021,2021,1954,15,10,6,0,8,28
"G01035","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01035",,,,,"ZCTA5 01035",,5250,5250,4799,102,9,213,1,41,85
"G01036","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01036",,,,,"ZCTA5 01036",,5109,5109,4938,25,3,70,1,21,51
"G01037","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01037",,,,,"ZCTA5 01037",,838,838,808,9,1,2,0,3,15
"G01038","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01038",,,,,"ZCTA5 01038",,2545,2545,2485,10,3,15,0,17,15
"G01039","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01039",,,,,"ZCTA5 01039",,1336,1336,1304,5,1,14,0,0,12
"G01040","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01040",,,,,"ZCTA5 01040",,39880,39880,26329,1867,301,428,27,9374,1554
"G01050","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01050",,,,,"ZCTA5 01050",,2530,2530,2458,10,5,4,2,10,41
"G01053","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01053",,,,,"ZCTA5 01053",,1685,1685,1557,47,4,21,1,27,28
"G01054","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01054",,,,,"ZCTA5 01054",,1851,1851,1722,22,3,30,0,9,65
"G01056","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01056",,,,,"ZCTA5 01056",,21103,21103,19828,514,25,171,8,271,286
"G01057","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01057",,,,,"ZCTA5 01057",,8534,8534,8265,70,18,52,0,17,112
"G01060","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01060",,,,,"ZCTA5 01060",,15284,15284,13111,477,37,780,4,428,447
"G01062","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01062",,,,,"ZCTA5 01062",,11150,11150,10058,224,41,290,9,244,284
"G01063","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01063",,,,,"ZCTA5 01063",,430,430,299,28,1,71,0,9,22
"G01066","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01066",,,,,"ZCTA5 01066",,64,64,64,0,0,0,0,0,0
"G01068","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01068",,,,,"ZCTA5 01068",,1902,1902,1856,12,0,8,1,5,20
"G01069","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01069",,,,,"ZCTA5 01069",,8469,8469,8097,105,14,78,0,41,134
"G01070","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01070",,,,,"ZCTA5 01070",,629,629,605,14,1,4,0,2,3
"G01071","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01071",,,,,"ZCTA5 01071",,1596,1596,1558,13,3,5,0,2,15
"G01072","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01072",,,,,"ZCTA5 01072",,1478,1478,1357,30,10,16,0,8,57
"G01073","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01073",,,,,"ZCTA5 01073",,5792,5792,5638,22,5,33,0,25,69
"G01074","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01074",,,,,"ZCTA5 01074",,319,319,314,0,2,2,0,0,1
