"county"	"state"	"region"	"population2000"	"black2000"	"white2000"	"medianincome2000"	"poverty2000"	"blue2000"	"red2000"	"population2008"	"black2008"	"white2008"	"medianincome2008"	"poverty2008"	"blue2008"	"red2008"	"population2010"	"black2010"	"white2010"	"medianincome2010"	"poverty2010"	"blue2010"	"red2010"	"blue2012"	"red2012"
"01047"	"alabama"	"east_south_central"	46365	0.63263	0.35579	24944	0.24102	0.59397	0.39861	43820	0.69427	0.2914	27088	0.28932	0.67073	0.32601	43820	0.69427	0.2914	27088	0.28932	0.67073	0.32601	0.697315628582346	0.300152846771112
"01049"	"alabama"	"east_south_central"	64452	0.0168	0.92553	31087	0.14958	0.34784	0.63234	71109	0.01516	0.845	33919	0.17846	0.2356	0.74774	71109	0.01516	0.845	33919	0.17846	0.2356	0.74774	0.219570505830048	0.768224142269944
"01051"	"alabama"	"east_south_central"	65874	0.20641	0.77021	41233	0.11375	0.27945	0.7048	79303	0.2005	0.76233	50194	0.10304	0.24191	0.75119	79303	0.2005	0.76233	50194	0.10304	0.24191	0.75119	0.252257336343115	0.739926636568849
"01053"	"alabama"	"east_south_central"	38440	0.30793	0.64396	28942	0.17685	0.38791	0.5982	38319	0.3189	0.62068	31443	0.22156	0.35355	0.63889	38319	0.3189	0.62068	31443	0.22156	0.35355	0.63889	0.369201725997843	0.624528047464941
"01055"	"alabama"	"east_south_central"	103459	0.14683	0.82871	31490	0.15268	0.44305	0.53591	104430	0.15126	0.80267	38575	0.16205	0.3017	0.68389	104430	0.15126	0.80267	38575	0.16205	0.3017	0.68389	0.301059072722994	0.684914097434691
"01057"	"alabama"	"east_south_central"	18495	0.11933	0.86915	30362	0.1522	0.39242	0.58683	17241	0.1142	0.8648	34262	0.19894	0.2506	0.73935	17241	0.1142	0.8648	34262	0.19894	0.2506	0.73935	0.227881698685541	0.762639029322548
"01059"	"alabama"	"east_south_central"	31223	0.04208	0.89681	28341	0.1667	0.43169	0.55111	31704	0.03873	0.83018	32588	0.18666	0.29667	0.68828	31704	0.03873	0.83018	32588	0.18666	0.29667	0.68828	0.292015839395893	0.696841329772539
"01061"	"alabama"	"east_south_central"	25764	0.10647	0.87106	27382	0.18052	0.28967	0.68919	26790	0.09477	0.86327	31347	0.16962	0.18307	0.80784	26790	0.09477	0.86327	31347	0.16962	0.18307	0.80784	0.180155504506096	0.810478883194911
"01063"	"alabama"	"east_south_central"	9974	0.80339	0.1909	21163	0.2674	0.79709	0.19336	9045	0.81481	0.17413	26131	0.30415	0.83091	0.16513	9045	0.81481	0.17413	26131	0.30415	0.83091	0.16513	0.847222222222222	0.149962462462462
"01065"	"alabama"	"east_south_central"	17185	0.58953	0.39825	26400	0.21338	0.60173	0.38598	15760	0.59016	0.39759	30124	0.28027	0.60653	0.38958	15760	0.59016	0.39759	30124	0.28027	0.60653	0.38958	0.625985164580436	0.371464997681966
"01067"	"alabama"	"east_south_central"	16310	0.32299	0.65665	31049	0.16162	0.40133	0.58482	17302	0.28563	0.68576	35215	0.17663	0.34898	0.64581	17302	0.28563	0.68576	35215	0.17663	0.34898	0.64581	0.350114942528736	0.644252873563218
"01069"	"alabama"	"east_south_central"	88787	0.24598	0.73081	35287	0.14919	0.2936	0.69096	101547	0.25777	0.69971	38751	0.14418	0.29292	0.70095	101547	0.25777	0.69971	38751	0.14418	0.29292	0.70095	0.295103123581005	0.698181296752145
"01071"	"alabama"	"east_south_central"	53926	0.03744	0.91889	33289	0.13274	0.50631	0.47331	53227	0.03346	0.90834	35015	0.16711	0.30536	0.67467	53227	0.03346	0.90834	35015	0.16711	0.30536	0.67467	0.282996837752372	0.70162977377767
"01073"	"alabama"	"east_south_central"	662047	0.39364	0.58098	37094	0.12549	0.47446	0.50588	658466	0.41995	0.53027	43312	0.13461	0.52153	0.47067	658466	0.41995	0.53027	43312	0.13461	0.52153	0.47067	0.526187776840329	0.466057398228222
"01075"	"alabama"	"east_south_central"	15904	0.11984	0.86871	29396	0.15638	0.36598	0.61664	14564	0.11281	0.86693	31226	0.17605	0.22813	0.76594	14564	0.11281	0.86693	31226	0.17605	0.22813	0.76594	0.229501327000978	0.761698561251571
"01077"	"alabama"	"east_south_central"	87966	0.09848	0.88378	34032	0.12406	0.43175	0.54386	92709	0.09985	0.86412	39096	0.15952	0.34981	0.63164	92709	0.09985	0.86412	39096	0.15952	0.34981	0.63164	0.338788338571583	0.647610274195296
"01079"	"alabama"	"east_south_central"	34803	0.13355	0.77772	33794	0.13921	0.5167	0.46541	34339	0.11468	0.776	36311	0.14759	0.35177	0.63195	34339	0.11468	0.776	36311	0.14759	0.35177	0.63195	0.359045386746218	0.628950919809646
"01081"	"alabama"	"east_south_central"	115092	0.22652	0.74069	32678	0.13852	0.38088	0.58627	140247	0.22746	0.71307	37836	0.14253	0.39573	0.59328	140247	0.22746	0.71307	37836	0.14253	0.39573	0.59328	0.393125750716068	0.592478979950106
"01083"	"alabama"	"east_south_central"	65676	0.13326	0.83789	38984	0.12018	0.38047	0.601	82782	0.12598	0.80339	46610	0.10725	0.28422	0.70335	82782	0.12598	0.80339	46610	0.10725	0.28422	0.70335	0.277043438965147	0.713523131672598
"01085"	"alabama"	"east_south_central"	13473	0.73369	0.25859	24089	0.24256	0.72994	0.26237	11299	0.73546	0.25303	28100	0.28356	0.74869	0.24856	11299	0.73546	0.25303	28100	0.28356	0.74869	0.24856	0.764330363080197	0.233275701556058
"01087"	"alabama"	"east_south_central"	24105	0.84642	0.1396	22274	0.24858	0.86797	0.12354	21452	0.82645	0.15472	26328	0.28263	0.86881	0.12834	21452	0.82645	0.15472	26328	0.28263	0.86881	0.12834	0.870967741935484	0.127298988926336
"01089"	"alabama"	"east_south_central"	276700	0.22777	0.72064	45736	0.10017	0.42534	0.54847	334811	0.24006	0.68182	57327	0.10513	0.41934	0.56877	334811	0.24006	0.68182	57327	0.10513	0.41934	0.56877	0.399671478089917	0.586418076465415
"01091"	"alabama"	"east_south_central"	22539	0.5171	0.47282	28060	0.20267	0.50385	0.48813	21027	0.51705	0.46374	31867	0.22409	0.51661	0.48086	21027	0.51705	0.46374	31867	0.22409	0.51661	0.48086	0.534711964549483	0.462333825701625
"01093"	"alabama"	"east_south_central"	31214	0.03633	0.94762	28247	0.16143	0.39129	0.58778	30776	0.03847	0.9355	32317	0.18134	0.21044	0.77183	30776	0.03847	0.9355	32317	0.18134	0.21044	0.77183	0.185806345009914	0.801057501652346
"01095"	"alabama"	"east_south_central"	82231	0.01468	0.93384	32470	0.1426	0.3709	0.61038	93019	0.01606	0.87578	37506	0.16917	0.21221	0.7757	93019	0.01606	0.87578	37506	0.16917	0.21221	0.7757	0.193221383454013	0.794484671083038
"01097"	"alabama"	"east_south_central"	399843	0.33379	0.63075	34685	0.16904	0.41962	0.55932	412992	0.34623	0.60206	39828	0.17934	0.45298	0.54044	412992	0.34623	0.60206	39828	0.17934	0.45298	0.54044	0.450183421456005	0.542893064430016
"01099"	"alabama"	"east_south_central"	24324	0.40072	0.5775	29802	0.18504	0.41794	0.57569	23068	0.41677	0.55133	30920	0.21046	0.44659	0.54879	23068	0.41677	0.55133	30920	0.21046	0.44659	0.54879	0.458520599250936	0.536516853932584
